Corrida,Clocks,Tiempo
0,25437,0.025437
1,51245,0.051245
2,77065,0.077065
3,104834,0.104834
4,133413,0.133413
5,163007,0.163007
6,171573,0.171573
7,207880,0.20788
8,219286,0.219286
9,270508,0.270508
10,283269,0.283269
11,315426,0.315426
12,339352,0.339352
13,353327,0.353327
14,396265,0.396265
15,398681,0.398681
16,425082,0.425082
17,467231,0.467231
18,495536,0.495536
19,538698,0.538698
20,566821,0.566821
21,575104,0.575104
22,604738,0.604738
23,651059,0.651059
24,671954,0.671954
25,679766,0.679766
26,726837,0.726837
27,700761,0.700761
28,733603,0.733603
29,778895,0.778895
30,801070,0.80107
31,831082,0.831082
32,877556,0.877556
33,922631,0.922631
34,903692,0.903692
35,873206,0.873206
36,935075,0.935075
37,995658,0.995658
38,1027758,1.02776
39,1061488,1.06149
40,1079319,1.07932
41,1092291,1.09229
42,1094982,1.09498
43,1193826,1.19383
44,1164784,1.16478
45,1228148,1.22815
46,1191320,1.19132
47,1293511,1.29351
48,1305129,1.30513
49,1306879,1.30688
50,1341152,1.34115
51,1426910,1.42691
52,1384623,1.38462
53,1465718,1.46572
54,1657763,1.65776
55,1514727,1.51473
56,1535156,1.53516
57,1521339,1.52134
58,1629908,1.62991
59,1604238,1.60424
60,1642934,1.64293
61,1684684,1.68468
62,1717985,1.71799
63,1841581,1.84158
64,1697793,1.69779
65,1806296,1.8063
66,1721259,1.72126
67,1731897,1.7319
68,1822155,1.82215
69,1871285,1.87129
70,1864222,1.86422
71,2001163,2.00116
72,1928654,1.92865
73,2031273,2.03127
74,1953976,1.95398
75,1950460,1.95046
76,1922534,1.92253
77,1991873,1.99187
78,2027582,2.02758
79,2063200,2.0632
80,2113012,2.11301
81,2161176,2.16118
82,2234726,2.23473
83,2200547,2.20055
84,2143172,2.14317
85,2163593,2.16359
86,2301241,2.30124
87,2335989,2.33599
88,2443699,2.4437
89,2370899,2.3709
90,2458688,2.45869
91,2488894,2.48889
92,2395273,2.39527
93,2438016,2.43802
94,2517668,2.51767
95,2408190,2.40819
96,2460885,2.46089
97,2566349,2.56635
98,2643526,2.64353
99,2614996,2.615
