Corrida,Clocks,Tiempo
0,1959,0.001959
1,1890,0.00189
2,2878,0.002878
3,4047,0.004047
4,4433,0.004433
5,6387,0.006387
6,7119,0.007119
7,8344,0.008344
8,7907,0.007907
9,10880,0.01088
10,10903,0.010903
11,12785,0.012785
12,13593,0.013593
13,14982,0.014982
14,17574,0.017574
15,16054,0.016054
16,16812,0.016812
17,18223,0.018223
18,18877,0.018877
19,22012,0.022012
20,23304,0.023304
21,21570,0.02157
22,24080,0.02408
23,24918,0.024918
24,25508,0.025508
25,24643,0.024643
26,30322,0.030322
27,25444,0.025444
28,29241,0.029241
29,32607,0.032607
30,32479,0.032479
31,32504,0.032504
32,33863,0.033863
33,36314,0.036314
34,34623,0.034623
35,32425,0.032425
36,39145,0.039145
37,39449,0.039449
38,43847,0.043847
39,40574,0.040574
40,47303,0.047303
41,47001,0.047001
42,44917,0.044917
43,46697,0.046697
44,43453,0.043453
45,49085,0.049085
46,46908,0.046908
47,50184,0.050184
48,46393,0.046393
49,49419,0.049419
50,51209,0.051209
51,55638,0.055638
52,54945,0.054945
53,57700,0.0577
54,59835,0.059835
55,56329,0.056329
56,58926,0.058926
57,58874,0.058874
58,62646,0.062646
59,64196,0.064196
60,60311,0.060311
61,62661,0.062661
62,61774,0.061774
63,71272,0.071272
64,63641,0.063641
65,65541,0.065541
66,65370,0.06537
67,67082,0.067082
68,69611,0.069611
69,71314,0.071314
70,68136,0.068136
71,76852,0.076852
72,77015,0.077015
73,76855,0.076855
74,76904,0.076904
75,77533,0.077533
76,74569,0.074569
77,71023,0.071023
78,83121,0.083121
79,78659,0.078659
80,86668,0.086668
81,86050,0.08605
82,90968,0.090968
83,89684,0.089684
84,85790,0.08579
85,90147,0.090147
86,84007,0.084007
87,97010,0.09701
88,102156,0.102156
89,101119,0.101119
90,92578,0.092578
91,97487,0.097487
92,93419,0.093419
93,102433,0.102433
94,96541,0.096541
95,92848,0.092848
96,97886,0.097886
97,101955,0.101955
98,102241,0.102241
99,108340,0.10834
